Report generated on: 02-06-2025 11:54:45
"API","","1980","1981","1982","1983","1984","1985","1986","1987","1988","1989","1990","1991","1992","1993","1994","1995","1996","1997","1998","1999","2000","2001","2002","2003","2004","2005","2006","2007","2008","2009","2010","2011","2012","2013","2014","2015","2016","2017","2018","2019","2020","2021","2022","2023"
"","biomass and waste electricity net generation (MMTOE)","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"INTL.38-12-WORL-MTOE.A","    World","1.600297847568366","1.603432335697415","2.395051871994907","2.490932629859289","2.836677574724353","2.9667751365507025","3.154340941608199","3.5411954144383238","3.763490043206641","17.032005907319146","21.199661959327475","22.568394578737852","24.99712433762342","25.26175457148597","26.496130161387946","27.164269596640196","28.247546410516637","28.682929197504343","28.703178254134368","29.71514526057008","30.029685431178642","31.10990558430495","36.49577214679059","34.78650273459599","30.92780323502184","32.873003239862115","34.26999383688209","35.97835133159105","38.08766472340006","39.85629496401532","45.4249918982155","47.664457126387035","51.53765877071866","54.90351716535497","58.902937585884885","60.539047621691886","63.21478895796404","65.83643696486487","68.66557208962872","70.39586939474121","72.51894232822617","76.36709844959616","77.10783069586824","72.67999822109704"
"INTL.38-12-AFG-MTOE.A","        Afghanistan","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"INTL.38-12-ALB-MTOE.A","        Albania","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"INTL.38-12-DZA-MTOE.A","        Algeria","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"INTL.38-12-ASM-MTOE.A","        American Samoa","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"INTL.38-12-AGO-MTOE.A","        Angola","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0.003095442818927489","0.0036113499554154037","0.0038693035236593613","0.004127257091903319","0.004471195182895262","0.004729148751139219","0.004729148751139219","0.004729148751139219","0.004729148751139219","0.004729007306599299"
"INTL.38-12-ATA-MTOE.A","        Antarctica","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"INTL.38-12-ATG-MTOE.A","        Antigua and Barbuda","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"INTL.38-12-ARG-MTOE.A","        Argentina","0.008598452274798581","0.008598452274798581","0.008598452274798581","0.008598452274798581","0.008598452274798581","0.008598452274798581","0.008598452274798581","0.008598452274798581","0.008598452274798581","0.008598452274798581","0.008598452274798581","0.008598452274798581","0.008598452274798581","0.008598452274798581","0.010318142729758296","0.010318142729758296","0.03009458296179503","0.03869303523659361","0.040412725691553325","0.04643164228391233","0.05786758380939445","0.05356835767199516","0.07463456574525168","0.08907996556691329","0.10103181422888333","0.11066208077665773","0.14256233871616047","0.1398968185109729","0.13551160785082564","0.11745485807374861","0.18873602743182885","0.1828890798849658","0.20421324152646628","0.22338779009926713","0.18684436793137316","0.1980223558886113","0.199742046343571","0.21642304375668028","0.20275150463975053","0.18564058461290137","0.21669819422947384","0.21104041263265635","0.1920034392962523","0.18595779871422322"
"INTL.38-12-ARM-MTOE.A","        Armenia","--","--","--","--","--","--","--","--","--","--","--","--","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"INTL.38-12-ABW-MTOE.A","        Aruba","--","--","--","--","--","--","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0.00041272570919033186","0","0","0","0","0","0","0"
"INTL.38-12-AUS-MTOE.A","        Australia","0.034393809099194324","0.034393809099194324","0.0429922613739929","0.034393809099194324","0.034393809099194324","0.034393809099194324","0.034393809099194324","0.034393809099194324","0.06018916592359006","0.06878761819838865","0.06448839206098936","0.06620808251594908","0.05760963024115049","0.05760963024115049","0.05760963024115049","0.06190885637854978","0.0799656061556268","0.08340498706554623","0.08856405843042538","0.09716251070522396","0.09750644879621591","0.11564918309604091","0.13611349951006152","0.13611349951006152","0.15468615642362646","0.32932072212478564","0.3362854684673725","0.3398968184227879","0.3951848665497428","0.24204643153558003","0.23877901967115658","0.18073946681626615","0.2616509027221208","0.2710232157016513","0.3018916593681782","0.3102321580747328","0.3200343936680032","0.3010318141406983","0.30249355102741404","0.3006018915269584","0.28818572644214924","0.2877214100193101","0.25073086833312663","0.25892475482994365"
"INTL.38-12-AUT-MTOE.A","        Austria","0.026483233006379628","0.02708512466561553","0.04342218398773283","0.04531384348818852","0.06543422181121719","0.07583834906372348","0.07944969901913888","0.07360275147227585","0.08555460013424587","0.0902837488853851","0.10146173684262325","0.10791057604872219","0.11805674973298451","0.12063628541542408","0.10713671534399032","0.16397248488040894","0.1550300945146184","0.15855545994728582","0.1647463455851408","0.15150472908195098","0.14247635419341248","0.1623387789481972","0.14952708505874732","0.16663800508559648","0.20077386061654687","0.24754944099145113","0.32579535669211823","0.3989681855506541","0.40808254496194063","0.42003439362391065","0.43585554580954006","0.4404987100379313","0.46147893358843983","0.45700773840554454","0.43895098862846754","0.45812553720126836","0.47257093702292996","0.4828460874913143","0.48548581233967747","0.4680481511263859","0.45838460856830804","0.44654677538350185","0.4683576954082787","0.45468615629134895"
"INTL.38-12-AZE-MTOE.A","        Azerbaijan","--","--","--","--","--","--","--","--","--","--","--","--","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0.007325881338128391","0.006973344794861649","0.00781599311779191","0.007497850383624362","0.007325881338128391","0.006973344794861649","0.008426483229302608","0.008624247631622976","0.008340498706554624","0.008856405843042538","0.00963026654777441"
