Report generated on: 02-06-2025 11:53:45
"API","","1980","1981","1982","1983","1984","1985","1986","1987","1988","1989","1990","1991","1992","1993","1994","1995","1996","1997","1998","1999","2000","2001","2002","2003","2004","2005","2006","2007","2008","2009","2010","2011","2012","2013","2014","2015","2016","2017","2018","2019","2020","2021","2022","2023"
"","nuclear electricity net generation (MMTOE)","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"INTL.27-12-WORL-MTOE.A","    World","106.27994344830017","119.29541190579377","129.1369215077634","139.93034378177052","164.34707665825243","192.36578102346022","205.36670071346643","222.98160672525688","249.91464911802282","254.25960754157796","268.4666233642653","280.9527332423903","283.49683687078425","288.171625254248","296.46539018158006","310.5445971563321","317.72635842137134","307.607393453587","319.44412927236766","335.02354020574427","344.08689353134247","352.74952523027486","357.2048623948455","351.5279947536708","364.72651587810606","364.2524446989112","368.14819153635705","368.20012012618264","366.635572220239","362.46020597979935","369.7168279491023","357.2268542839485","339.09297039074295","343.544259453006","349.8536662446573","352.283729112224","357.2730712417065","359.4091941234005","364.18066016717046","373.6033848612041","362.92547393103325","369.7609297900517","359.8547040439507","366.6798911666735"
"INTL.27-12-AFG-MTOE.A","        Afghanistan","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"INTL.27-12-ALB-MTOE.A","        Albania","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"INTL.27-12-DZA-MTOE.A","        Algeria","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"INTL.27-12-ASM-MTOE.A","        American Samoa","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"INTL.27-12-AGO-MTOE.A","        Angola","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"INTL.27-12-ATA-MTOE.A","        Antarctica","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"INTL.27-12-ATG-MTOE.A","        Antigua and Barbuda","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"INTL.27-12-ARG-MTOE.A","        Argentina","0.19114359406877243","0.23000859835086204","0.1527085124004228","0.27773000847599416","0.3690455716343551","0.4672398966125549","0.4628546859524076","0.5280309541953808","0.41659501271399124","0.41160791039460803","0.6044711949183402","0.6616509025457508","0.5799656059351642","0.6289767839015161","0.672656921457493","0.6079105758282597","0.5950128974160618","0.6405846944724942","0.6126397245793989","0.5799656059351642","0.514617368646695","0.5624247632945751","0.4634565776116435","0.6044711949183402","0.6288048148560202","0.5477214099046696","0.6150472912163425","0.5779879619119606","0.5889939808237028","0.6526225276572123","0.575322441706773","0.5067927770766283","0.5075666377813602","0.49282889058235546","0.4521066206089094","0.5712897675898925","0.6724161647937986","0.4961822869695269","0.560128976537204","0.6852536540400729","0.8653826307448284","0.8744625963470156","0.64204643135921","0.7706792773901968"
"INTL.27-12-ARM-MTOE.A","        Armenia","--","--","--","--","--","--","--","--","--","--","--","--","0","0","0","0","0.1805674977707702","0.12295786752961971","0.12209802230213984","0.1788478073158105","0.1582115218562939","0.1708512467002478","0.17970765254329032","0.15649183140133416","0.1895958726593087","0.21530524496095646","0.20825451409562162","0.20187446250772106","0.19484092854693583","0.19690455709288748","0.19664660352464353","0.20266552011700253","0.18263112631672185","0.18641444531763324","0.19484092854693583","0.2210662079850715","0.18873602743182885","0.20730868434539376","0.16319862417567707","0.1744625966556632","0.21943250205285977","0.15907136708377373","0.22622527934995065","0.21599312114294034"
"INTL.27-12-ABW-MTOE.A","        Aruba","--","--","--","--","--","--","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"INTL.27-12-AUS-MTOE.A","        Australia","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"INTL.27-12-AUT-MTOE.A","        Austria","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"INTL.27-12-AZE-MTOE.A","        Azerbaijan","--","--","--","--","--","--","--","--","--","--","--","--","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"INTL.27-12-BHR-MTOE.A","        Bahrain","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"INTL.27-12-BGD-MTOE.A","        Bangladesh","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"INTL.27-12-BRB-MTOE.A","        Barbados","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"INTL.27-12-BLR-MTOE.A","        Belarus","--","--","--","--","--","--","--","--","--","--","--","--","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0.029062768688819202","0.496990541483358","0.4028374890743135","1.0090283744476134"
"INTL.27-12-BEL-MTOE.A","        Belgium","1.023989681405763","1.0506448834576385","1.2684436795782865","1.963198623382012","2.2664660351141577","2.811006017677152","3.2073946675453664","3.4190885625509075","3.5156491815968955","3.362338777537237","3.489767840249752","3.501117797252486","3.549699052605098","3.4248495255750226","3.318400686413016","3.3781599297228664","3.5398968170118277","3.8727429045692805","3.7709372296356656","4.003955286282707","3.933705931197603","3.786070505639311","3.868615647477377","3.870249353409589","3.86466035943097","3.8981083387799367","3.810318141054243","3.942648321563393","3.7282029218299164","3.865864142749442","3.931900256219895","3.9503009440879637","3.307308682978526","3.493723128296159","2.759587273073856","2.1345657772187474","3.562381769710426","3.450429921092548","2.3324419594186874","3.5516423028192023","2.8035941518162755","4.117944968089712","3.578381984664678","2.685312681533089"
"INTL.27-12-BLZ-MTOE.A","        Belize","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"INTL.27-12-BEN-MTOE.A","        Benin","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"INTL.27-12-BMU-MTOE.A","        Bermuda","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"INTL.27-12-BTN-MTOE.A","        Bhutan","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"INTL.27-12-BOL-MTOE.A","        Bolivia","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
